name,price,rating,reviews
"Oppo Find X9s 5G (Midnight Grey, 12GB, 512GB) | Hasselblad 50MP Triple Camera | 120× Super Zoom | MediaTek Dimensity 9500s | 7025mAh 80W SUPERVOOC | ColorOS 16",94999,No rating,"₹94,999
M.R.P:
₹1,59,999 (41% off)"
OnePlus 13s | Snapdragon® 8 Elite | Smarter with OnePlus AI | Lifetime Display Warranty | 12GB+512GB | Black Velvet,59999,No rating,100+ bought in past month
OnePlus 15 | 16GB+512GB | Sand Storm | India's First Snapdragon® 8 Elite Gen 5 | 7300mAh Battery | Personalised AI | Game-Changing 165Hz Display | Triple 50MP Camera with 4K 120fps Dolby Vision,93999,No rating,400+ bought in past month
"Samsung Galaxy S25 Ultra 5G AI Smartphone (Titanium Silverblue, 12GB RAM, 256GB Storage), 200MP Camera, 5000mAh Ultra Long Battery, QHD+ Dynamic AMOLED 2X, Galaxy AI, Knox Security, S Pen Included",99999,No rating,50+ bought in past month
REDMI Turbo 5 (8GB + 256GB) Turbo White | MediaTek Dimensity 8500 Ultra | Mega 7540mAh Battery | 100W HyperCharge | Compact 16.75cm(6.9) 120Hz Display | 50MP Sony OIS Camera,41999,No rating,500+ bought in past month
"Lava Bold N4 Lite (Ghost Silver, 3GB RAM, 32GB Storage) | 6.56"" qHD Display | 8MP Rear Camera | 5000 mAh Battery | Free Service @ Home | Fingerprint Reader | Charger & Phone-Cover in Box",8399,No rating,"₹8,399
M.R.P:
₹9,999 (16% off)"
"vivo X300 FE 5G (Lilac Purple, 12GB RAM, 512GB Storage) with No Cost EMI/Additional Exchange Offers",99999,No rating,"₹99,999
M.R.P:
₹1,29,999 (23% off)"
"vivo X300 FE 5G (Lilac Purple, 12GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers",89999,No rating,50+ bought in past month
Motorola All-New A300-2026 Dual Sim keypad Phone | 2 Years Replacement | Type C Charging Port |Long Lasting Battery | Loud Sound | Wireless FM | (Purple Elite),1370,No rating,3K+ bought in past month
"Lava Bold N2 (Siachen White, 4 GB RAM, 64 GB Storage) | 13MP AI Dual Rear Camera | Largest 6.75"" HD+ Display | 5000 mAh Battery & 10W Charging | IP64 Water & Dust Proof | Charger & Phone-Case in Box",9999,No rating,2K+ bought in past month
